V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21
100,1e-4,0.001,1e-4,299.2217,0.5,0.5,0.5,0.5,0.5,2851.327325243916,0.021505462487553608,0.1,8.667246965280328e-4,415.03891754706797,1,1,0.8580918062422361,0.4071647820453729,0.03566408576076138,24206.403991765117
100,1e-4,0.01,1e-6,299.2217,0.5,0.5,0.5,0.5,0.5,3145.293529127077,4.0651605622543994e-4,0.1,1.0838922332034149e-4,468.6592443751978,0,0,0.11494065099970323,0.06796564049526795,0,36092.69184528908
100,1e-4,0.01,1e-5,299.2217,0.5,0.5,0.5,0.5,0.5,5210.897383994236,1.9822686741577757e-4,0.1,7.261777002994135e-5,465.00002430520357,0,0.1222982514940695,0.18363160130042452,0.09997340826777379,0,20238.559854388564
100,1e-4,0.01,1e-4,299.2217,0.5,0.5,0.5,0.5,0.5,2575.7864343274287,0.004942042533211104,0.1,3.7314937480841393e-4,425.64675261202086,0,0.48348776627116347,0.5672041715759286,0.2872439299627856,3.014118811732948e-4,24301.6131676736
1000,1e-6,1e-4,1e-6,299.2217,0.5,0.5,0.5,0.5,0.5,2493.112091961514,4.863175750679156e-5,2.737923892605086e-4,0.002917615109871294,406.06761560945677,1,1,1,1,1,46243.57787023071
1000,1e-6,1e-4,1e-5,299.2217,0.5,0.5,0.5,0.5,0.5,2493.11708968806,4.8624731328112734e-5,2.7378601437152614e-4,0.002917076567180139,406.0648797696142,1,1,1,1,1,46243.577764116955
1000,1e-6,1e-4,1e-4,299.2217,0.5,0.5,0.5,0.5,0.5,2493.0654250531024,4.8623634328742384e-5,2.737935883447034e-4,0.002916765292199355,406.0703015067752,1,1,1,1,1,46243.57781049751
1000,1e-6,0.001,1e-6,299.2217,0.5,0.5,0.5,0.5,0.5,2976.9680592926293,1.7576728056504955e-5,0.0014098299964219894,0,349.629958399168,0,0,0.17389604438256015,0.11938807851891803,0,47542.72717838116
1000,1e-6,0.001,1e-5,299.2217,0.5,0.5,0.5,0.5,0.5,2951.260489384271,1.597745442587181e-5,0.001506873713685093,0,351.9935632769461,0,0,0.12768014959243035,0.09090500969179016,0,58791.942442078645
1000,1e-6,0.001,1e-4,299.2217,0.5,0.5,0.5,0.5,0.5,3136.641865569882,4.9346400843596676e-5,0.002028462368346417,0,359.79635204245596,0,0.2837783640507181,0.40391182274522164,0.20406106860094744,0,22620.16600687618
1000,1e-6,0.01,1e-6,299.2217,0.5,0.5,0.5,0.5,0.5,2477.3753155051113,7.069563081209738e-5,0.011095706373439276,7.675144957897774e-5,470.8631440858342,0,0,0.18085425172413505,0.17547491220116598,0.08631471232009214,39786.60455155654
1000,1e-6,0.01,1e-5,299.2217,0.5,0.5,0.5,0.5,0.5,2540.462078507171,6.891491999734808e-5,0.008600595735476418,6.428743616797864e-5,447.4673191699928,0,0,0.2087421739465039,0.17453717751775902,0.058701514002146335,37907.39512200249
1000,1e-6,0.01,1e-4,299.2217,0.5,0.5,0.5,0.5,0.5,2233.3754384984027,4.6709193252547e-5,0.005821069970463202,3.902348701114196e-5,476.2038895346683,0,0,0.2795990953358509,0.29212356951236207,0.19913037528853622,42044.95432547417
1000,1e-5,1e-4,1e-6,299.2217,0.5,0.5,0.5,0.5,0.5,3609.153794240421,1.221627620286104e-4,0.0030400354389676617,1.631037446081695e-5,349.8253925845357,0,0.6270988914080531,0.4935966826661846,0.16788543828357977,0,51034.256857265464
1000,1e-5,1e-4,1e-5,299.2217,0.5,0.5,0.5,0.5,0.5,3455.244150651042,1.4184894617129884e-4,0.0031882159834426865,4.236684780886547e-5,353.41870124791967,0,0.5760737050280829,0.4771518076842274,0.16353197937621822,0,50001.435900057484
1000,1e-5,1e-4,1e-4,299.2217,0.5,0.5,0.5,0.5,0.5,3119.032625028948,5.16502560811315e-5,0.0025838106901552188,0,352.90849392178467,0,0.08858580010091899,0.24231837894624816,0.08049276087439984,0,55487.44958298997
1000,1e-5,0.001,1e-6,299.2217,0.5,0.5,0.5,0.5,0.5,3172.01857325904,2.816239628425253e-5,0.0017815395917178119,0,342.3808085973091,0,0.008964317006724542,0.18647132554808432,0.06425640492525553,0,58199.62925556391
1000,1e-5,0.001,1e-5,299.2217,0.5,0.5,0.5,0.5,0.5,3222.9502389699032,2.8840698223391216e-5,0.0017746592909700213,0,341.1405766537523,0,0.0327066274803098,0.2025708410981023,0.06942590652650658,0,57634.459540537566
1000,1e-5,0.001,1e-4,299.2217,0.5,0.5,0.5,0.5,0.5,3308.74562190461,3.281094802810744e-5,0.0017336553720573504,0,339.05494154835867,0,0.10833998025954718,0.2518130617423443,0.08818502838914871,0,51529.91660973873
1000,1e-5,0.01,1e-6,299.2217,0.5,0.5,0.5,0.5,0.5,3707.115540672597,2.3403909120877186e-4,7.661984069687823e-4,9.502172215289108e-4,329.3895779530357,0.02248654509222671,0.7769717728286698,0.5410074505538173,0.20332216253005508,0,14972.40247841779
1000,1e-5,0.01,1e-5,299.2217,0.5,0.5,0.5,0.5,0.5,3639.449908678783,2.2247887971023372e-4,8.10528966269794e-4,8.276884003106059e-4,333.1166430114617,0.001901168286061524,0.7790451846368656,0.553594186653834,0.2123943057884211,0,15216.414161960807
1000,1e-5,0.01,1e-4,299.2217,0.5,0.5,0.5,0.5,0.5,3819.3880833560343,2.4228524889752698e-4,6.840807354959997e-4,9.071102604571123e-4,323.9431587590814,0.06478466242457694,0.768837966661302,0.5268241724014956,0.18740828325148748,0,16745.9581677231
1000,1e-4,1e-4,1e-6,299.2217,0.5,0.5,0.5,0.5,0.5,2493.088599488763,4.861973346429955e-5,2.7378716435385675e-4,0.0029165492540371477,406.06658650954375,1,1,1,1,1,46243.57780415935
1000,1e-4,1e-4,1e-5,299.2217,0.5,0.5,0.5,0.5,0.5,2493.064373388736,4.8629310021516025e-5,2.737982138404045e-4,0.0029171605303026362,406.0724226530894,1,1,1,1,1,46243.57788496497
1000,1e-4,1e-4,1e-4,299.2217,0.5,0.5,0.5,0.5,0.5,2271.532487958465,2.9945161103655863e-5,2.8405671865352604e-4,0.0012805200054943889,414.8331605058812,0,1,1,1,1,39189.444112963494
1000,1e-4,0.001,1e-6,299.2217,0.5,0.5,0.5,0.5,0.5,3431.003272700523,3.578490739621776e-5,9.846367379976848e-4,0,334.4008921568938,0,0.4689740487742068,0.5236216821317603,0.27193814882152234,0,15020.420483817119
1000,1e-4,0.001,1e-5,299.2217,0.5,0.5,0.5,0.5,0.5,3430.137253612697,3.60827367583319e-5,9.915554044657923e-4,0,334.61484501717297,0,0.47067605877036645,0.5232447700880953,0.2710936656340144,0,15023.564928360885
1000,1e-4,0.001,1e-4,299.2217,0.5,0.5,0.5,0.5,0.5,3363.3642027301466,3.5688300684415064e-5,0.0010294566798555588,0,336.3610832920502,0,0.4152160237033891,0.4970001535696777,0.2591627919788395,0,15937.38452651605
