ka1_0,ka2_0,kd1_0,kd2_0,ka1,ka2,kd1,kd2,SSE
1000,1e-5,0.001,1e-4,1694.3346049734612,3.833978344187985e-5,0.002561864846312073,2.532264496036883e-4,23006.810419550988
1000,1e-5,0.01,1e-6,1694.3276508561923,3.834019858555842e-5,0.002561935857684175,2.5322674088213115e-4,23006.810417450393
1000,1e-5,0.01,1e-5,1694.328736980934,3.83401094005748e-5,0.002561923474585014,2.5322659146736256e-4,23006.810417485292
1000,1e-5,0.01,1e-4,1694.3280293252467,3.834012659187767e-5,0.0025619276635089343,2.532266308917848e-4,23006.81041745535
1000,1e-4,1e-4,1e-6,2179.9276562674336,0.007173098170470164,0.010899795045678432,0.006400373426294937,27814.259757221138
1000,1e-4,1e-4,1e-5,1694.3238016535386,3.8339384328319705e-5,0.0025618782118411103,2.5322536409603185e-4,23006.810419520556
1000,1e-4,1e-4,1e-4,1694.319575819922,3.834076090281352e-5,0.0025620180186222605,2.5322772993774216e-4,23006.81042120944
1000,1e-4,0.001,1e-6,1694.3266404050653,3.83401938422001e-5,0.0025619389748984876,2.5322676415146856e-4,23006.810417464392
1000,1e-4,0.001,1e-5,1694.3292658518817,3.8340019596449e-5,0.0025619133074957106,2.5322643652848616e-4,23006.810417636196
1000,1e-4,0.001,1e-4,1000,1e-4,0.001,1e-4,2e64
1000,1e-4,0.01,1e-6,1694.3250103177952,3.834043256685553e-5,0.0025619674807251425,2.5322713499177304e-4,23006.810418080735
1000,1e-4,0.01,1e-5,1694.3263927722085,3.83402588273693e-5,0.0025619457695971897,2.5322687923019874e-4,23006.810417536468
1000,1e-4,0.01,1e-4,1694.3255380248563,3.8340379619403914e-5,0.0025619605812638737,2.532270457016712e-4,23006.810417854012
10000,1e-6,1e-4,1e-6,1694.3298785474979,3.834000528508187e-5,0.002561909408546614,2.5322642274177936e-4,23006.810417715853
10000,1e-6,1e-4,1e-5,1694.3309151261028,3.833997763492369e-5,0.002561903355095972,2.532263321287491e-4,23006.810417882232
10000,1e-6,1e-4,1e-4,1694.3288978252172,3.834004526300738e-5,0.002561916455747421,2.532265232250111e-4,23006.810417572655
10000,1e-6,0.001,1e-6,1694.3268109170926,3.8339827390920365e-5,0.002561905583711332,2.5322619527840136e-4,23006.81041789714
10000,1e-6,0.001,1e-5,1694.330211158139,3.8339908970564595e-5,0.002561899778897597,2.53226233169822e-4,23006.81041800993
10000,1e-6,0.001,1e-4,1694.329400919151,3.834004774717793e-5,0.002561915047909183,2.5322649947743473e-4,23006.810417597677
10000,1e-6,0.01,1e-6,1694.3236738340188,3.834007157369295e-5,0.0025619379143964516,2.5322671325340827e-4,23006.81041749401
10000,1e-6,0.01,1e-5,1694.3262836473418,3.834038261964031e-5,0.002561958225257592,2.5322700671046857e-4,23006.8104177946
10000,1e-6,0.01,1e-4,1694.3284220471328,3.834009737546614e-5,0.0025619234337784904,2.532265845045059e-4,23006.810417485343
10000,1e-5,1e-4,1e-6,1694.3310305166658,3.833997465947522e-5,0.0025619023038746355,2.532263515486238e-4,23006.81041790718
10000,1e-5,1e-4,1e-5,1694.330831276943,3.8339948871843376e-5,0.0025619010657266447,2.532262825226028e-4,23006.810417957255
10000,1e-5,1e-4,1e-4,1694.3314735702506,3.833993043323544e-5,0.002561896523723388,2.5322628101886357e-4,23006.81041810311
