ka1_0,ka2_0,kd1_0,kd2_0,ka1,ka2,kd1,kd2,SSE
10000,1e-6,1e-4,1e-4,3133.0957923394226,3.758465906164426e-5,0.0012574504840926074,0,6620.305632512049
10000,1e-6,0.001,1e-6,3850.40313601857,2.918702380854795e-5,9.569698641976249e-4,0,6579.352886512125
10000,1e-6,0.001,1e-5,3894.4676183305955,2.911913738847556e-5,9.393738028210724e-4,0,6575.314820315927
10000,1e-6,0.001,1e-4,3886.5385079215102,2.845345045781645e-5,9.454464182033892e-4,0,6596.63336583316
10000,1e-6,0.01,1e-6,1491.005129257928,2.903604074272169e-5,0.0022542909061176804,0,7760.328847759522
10000,1e-6,0.01,1e-5,1591.2106495897422,3.9655956021769256e-5,0.0026086971014464954,0,6744.185451627453
10000,1e-6,0.01,1e-4,1422.7022514616951,2.9403350756749373e-5,0.0022989458017589307,0,7488.058267910617
10000,1e-5,1e-4,1e-6,2573.212272649403,3.5496883254659265e-5,0.0015860650267479326,0,7539.882974241459
10000,1e-5,1e-4,1e-5,2574.877084728001,3.5523006432968536e-5,0.0015839250888606679,0,7525.786370128026
10000,1e-5,1e-4,1e-4,2581.736162565708,3.5928667961336035e-5,0.0015704770580603409,0,7407.263777311513
10000,1e-5,0.001,1e-6,4116.802138610126,1.8675014659059787e-5,8.966709213371331e-4,0,6871.730113201686
10000,1e-5,0.001,1e-5,4099.720550997099,1.948403629790791e-5,9.028066901828038e-4,0,6853.928291816166
10000,1e-5,0.001,1e-4,3974.5992022356218,2.7809887422065293e-5,9.376123416800248e-4,0,6626.32379401255
10000,1e-5,0.01,1e-6,1913.3844893738965,1.225727380555435e-4,0.007558450640454452,1.9370212179814066e-4,5684.816801563172
10000,1e-5,0.01,1e-5,1913.3848556238647,1.2257299809981015e-4,0.007558487412268864,1.9370268949816648e-4,5684.816800769861
10000,1e-5,0.01,1e-4,1913.387290422303,1.2257523880683334e-4,0.007558811865214803,1.9370779395436153e-4,5684.816794129865
10000,1e-4,1e-4,1e-6,3772.069606889481,3.721146862314829e-5,0.0010000692443173722,0,6447.720894141234
10000,1e-4,1e-4,1e-5,3569.9226264395807,4.586848452818138e-5,0.0010850096318229105,0,6344.6323863833395
10000,1e-4,1e-4,1e-4,3790.48003732852,3.5453759113369014e-5,9.744280668930426e-4,0,6469.014303009632
10000,1e-4,0.001,1e-6,4037.3549186934006,3.426366180863803e-5,9.287335452827964e-4,0,6556.928082170243
10000,1e-4,0.001,1e-5,4044.954031310491,3.409427406130554e-5,9.266523649522069e-4,0,6560.555145325259
