"X...1"	"X...3"	"X...5"	"X...7"	"X...9"	"X...11"	"X...13"	"X...15"	"X...17"	"X...19"	"X...21"	"X...23"	"X...25"	"X...27"	"X...29"	"X...31"	"X...33"	"X...35"	"X...37"	"X...39"	"X...41"	"X...43"	"X...45"	"X...47"	"X...49"	"X...51"	"X...53"	"X...55"	"X...57"	"X...59"	"X...61"	"X...63"	"X...65"	"X...67"	"X...69"	"X...71"	"X...73"	"X...75"	"X...77"	"X...79"	"X...81"	"X...83"	"X...85"	"X...87"	"X...89"	"X...91"	"X...93"	"X...95"	"X...97"	"X...99"	"X...101"	"X...103"	"X...105"	"X...107"	"X...109"	"X...111"	"X...113"	"X...115"	"X...117"	"X...119"	"X...121"	"X...123"	"X...125"	"X...127"	"X...129"	"X...131"	"X...133"	"X...135"	"X...137"	"X...139"	"X...141"	"X...143"	"X...145"	"X...147"	"X...149"	"X...151"	"X...153"	"X...155"
640.5622	643.8273	636.5604	637.6458	638.8058	637.7482	644.0952	640.9628	644.8658	648.1258	642.237	644.1144	643.319	640.5622	643.8273	636.5604	637.6458	638.8058	637.7482	644.0952	640.9628	644.8658	648.1258	642.237	644.1144	643.319	640.5622	643.8273	636.5604	637.6458	638.8058	637.7482	644.0952	640.9628	644.8658	648.1258	642.237	644.1144	643.319	640.5622	643.8273	636.5604	637.6458	638.8058	637.7482	644.0952	640.9628	644.8658	648.1258	642.237	644.1144	643.319	640.5622	643.8273	636.5604	637.6458	638.8058	637.7482	644.0952	640.9628	644.8658	648.1258	642.237	644.1144	643.319	640.5622	643.8273	636.5604	637.6458	638.8058	637.7482	644.0952	640.9628	644.8658	648.1258	642.237	644.1144	643.319
642.8434	646.1242	638.7635	639.8488	641.009	639.967	646.314	643.1815	647.0533	650.7039	644.4401	646.3488	645.6158	642.8434	646.1242	638.7635	639.8488	641.009	639.967	646.314	643.1815	647.0533	650.7039	644.4401	646.3488	645.6158	642.8434	646.1242	638.7635	639.8488	641.009	639.967	646.314	643.1815	647.0533	650.7039	644.4401	646.3488	645.6158	642.8434	646.1242	638.7635	639.8488	641.009	639.967	646.314	643.1815	647.0533	650.7039	644.4401	646.3488	645.6158	642.8434	646.1242	638.7635	639.8488	641.009	639.967	646.314	643.1815	647.0533	650.7039	644.4401	646.3488	645.6158	642.8434	646.1242	638.7635	639.8488	641.009	639.967	646.314	643.1815	647.0533	650.7039	644.4401	646.3488	645.6158
645.0309	648.468	640.9666	642.3801	643.2278	642.1701	648.5483	645.4002	649.2564	652.9852	646.6745	648.5676	647.819	645.0309	648.468	640.9666	642.3801	643.2278	642.1701	648.5483	645.4002	649.2564	652.9852	646.6745	648.5676	647.819	645.0309	648.468	640.9666	642.3801	643.2278	642.1701	648.5483	645.4002	649.2564	652.9852	646.6745	648.5676	647.819	645.0309	648.468	640.9666	642.3801	643.2278	642.1701	648.5483	645.4002	649.2564	652.9852	646.6745	648.5676	647.819	645.0309	648.468	640.9666	642.3801	643.2278	642.1701	648.5483	645.4002	649.2564	652.9852	646.6745	648.5676	647.819	645.0309	648.468	640.9666	642.3801	643.2278	642.1701	648.5483	645.4002	649.2564	652.9852	646.6745	648.5676	647.819
647.5622	650.9367	643.1698	644.6301	645.4465	644.3732	650.7983	647.6033	651.4595	655.3289	648.8776	650.9113	650.4127	647.5622	650.9367	643.1698	644.6301	645.4465	644.3732	650.7983	647.6033	651.4595	655.3289	648.8776	650.9113	650.4127	647.5622	650.9367	643.1698	644.6301	645.4465	644.3732	650.7983	647.6033	651.4595	655.3289	648.8776	650.9113	650.4127	647.5622	650.9367	643.1698	644.6301	645.4465	644.3732	650.7983	647.6033	651.4595	655.3289	648.8776	650.9113	650.4127	647.5622	650.9367	643.1698	644.6301	645.4465	644.3732	650.7983	647.6033	651.4595	655.3289	648.8776	650.9113	650.4127	647.5622	650.9367	643.1698	644.6301	645.4465	644.3732	650.7983	647.6033	651.4595	655.3289	648.8776	650.9113	650.4127
649.7966	653.1398	645.3885	646.9738	647.6652	646.5764	653.0171	649.8221	653.6783	657.5789	651.0807	653.3332	652.7095	649.7966	653.1398	645.3885	646.9738	647.6652	646.5764	653.0171	649.8221	653.6783	657.5789	651.0807	653.3332	652.7095	649.7966	653.1398	645.3885	646.9738	647.6652	646.5764	653.0171	649.8221	653.6783	657.5789	651.0807	653.3332	652.7095	649.7966	653.1398	645.3885	646.9738	647.6652	646.5764	653.0171	649.8221	653.6783	657.5789	651.0807	653.3332	652.7095	649.7966	653.1398	645.3885	646.9738	647.6652	646.5764	653.0171	649.8221	653.6783	657.5789	651.0807	653.3332	652.7095	649.7966	653.1398	645.3885	646.9738	647.6652	646.5764	653.0171	649.8221	653.6783	657.5789	651.0807	653.3332	652.7095
652.1403	655.4366	647.5917	649.2082	649.8996	648.795	655.2358	652.0096	655.8814	659.782	653.2995	655.5988	655.0377	652.1403	655.4366	647.5917	649.2082	649.8996	648.795	655.2358	652.0096	655.8814	659.782	653.2995	655.5988	655.0377	652.1403	655.4366	647.5917	649.2082	649.8996	648.795	655.2358	652.0096	655.8814	659.782	653.2995	655.5988	655.0377	652.1403	655.4366	647.5917	649.2082	649.8996	648.795	655.2358	652.0096	655.8814	659.782	653.2995	655.5988	655.0377	652.1403	655.4366	647.5917	649.2082	649.8996	648.795	655.2358	652.0096	655.8814	659.782	653.2995	655.5988	655.0377	652.1403	655.4366	647.5917	649.2082	649.8996	648.795	655.2358	652.0096	655.8814	659.782	653.2995	655.5988	655.0377
654.4059	657.6866	649.8104	651.4269	652.1028	650.9982	657.4233	654.2283	658.1002	662.3445	655.5338	657.8644	657.272	654.4059	657.6866	649.8104	651.4269	652.1028	650.9982	657.4233	654.2283	658.1002	662.3445	655.5338	657.8644	657.272	654.4059	657.6866	649.8104	651.4269	652.1028	650.9982	657.4233	654.2283	658.1002	662.3445	655.5338	657.8644	657.272	654.4059	657.6866	649.8104	651.4269	652.1028	650.9982	657.4233	654.2283	658.1002	662.3445	655.5338	657.8644	657.272	654.4059	657.6866	649.8104	651.4269	652.1028	650.9982	657.4233	654.2283	658.1002	662.3445	655.5338	657.8644	657.272	654.4059	657.6866	649.8104	651.4269	652.1028	650.9982	657.4233	654.2283	658.1002	662.3445	655.5338	657.8644	657.272
656.6247	660.0304	652.0291	653.6301	654.3215	653.2169	659.6421	656.4471	660.3033	664.5945	657.7682	660.0988	659.4752	656.6247	660.0304	652.0291	653.6301	654.3215	653.2169	659.6421	656.4471	660.3033	664.5945	657.7682	660.0988	659.4752	656.6247	660.0304	652.0291	653.6301	654.3215	653.2169	659.6421	656.4471	660.3033	664.5945	657.7682	660.0988	659.4752	656.6247	660.0304	652.0291	653.6301	654.3215	653.2169	659.6421	656.4471	660.3033	664.5945	657.7682	660.0988	659.4752	656.6247	660.0304	652.0291	653.6301	654.3215	653.2169	659.6421	656.4471	660.3033	664.5945	657.7682	660.0988	659.4752	656.6247	660.0304	652.0291	653.6301	654.3215	653.2169	659.6421	656.4471	660.3033	664.5945	657.7682	660.0988	659.4752
658.9841	662.4835	654.2479	655.9426	656.5246	655.4513	661.8452	658.7596	662.5377	666.9539	660.0026	662.6926	661.8033	658.9841	662.4835	654.2479	655.9426	656.5246	655.4513	661.8452	658.7596	662.5377	666.9539	660.0026	662.6926	661.8033	658.9841	662.4835	654.2479	655.9426	656.5246	655.4513	661.8452	658.7596	662.5377	666.9539	660.0026	662.6926	661.8033	658.9841	662.4835	654.2479	655.9426	656.5246	655.4513	661.8452	658.7596	662.5377	666.9539	660.0026	662.6926	661.8033	658.9841	662.4835	654.2479	655.9426	656.5246	655.4513	661.8452	658.7596	662.5377	666.9539	660.0026	662.6926	661.8033	658.9841	662.4835	654.2479	655.9426	656.5246	655.4513	661.8452	658.7596	662.5377	666.9539	660.0026	662.6926	661.8033
661.4528	664.7023	656.4666	658.3019	658.7433	657.6857	664.0483	661.244	664.772	669.2352	662.2213	664.9738	664.2095	661.4528	664.7023	656.4666	658.3019	658.7433	657.6857	664.0483	661.244	664.772	669.2352	662.2213	664.9738	664.2095	661.4528	664.7023	656.4666	658.3019	658.7433	657.6857	664.0483	661.244	664.772	669.2352	662.2213	664.9738	664.2095	661.4528	664.7023	656.4666	658.3019	658.7433	657.6857	664.0483	661.244	664.772	669.2352	662.2213	664.9738	664.2095	661.4528	664.7023	656.4666	658.3019	658.7433	657.6857	664.0483	661.244	664.772	669.2352	662.2213	664.9738	664.2095	661.4528	664.7023	656.4666	658.3019	658.7433	657.6857	664.0483	661.244	664.772	669.2352	662.2213	664.9738	664.2095
