Y...12,Y...14,Y...16,Y...18,Y...20,Y...32,Y...34,Y...36,Y...38,Y...40,Y...52,Y...54,Y...56,Y...58,Y...60,Y...72,Y...74,Y...76,Y...78,Y...80,Y...92,Y...94,Y...96,Y...98,Y...100,Y...112,Y...114,Y...116,Y...118,Y...120,Y...132,Y...134,Y...136,Y...138,Y...140,Y...152,Y...154,Y...156,Y...158,Y...160,Y...172,Y...174,Y...176,Y...178,Y...180,Y...192,Y...194,Y...196,Y...198,Y...200,Y...212,Y...214,Y...216,Y...218,Y...220,Y...232,Y...234,Y...236,Y...238,Y...240,Y...252,Y...254,Y...256,Y...258,Y...260,Y...272,Y...274,Y...276,Y...278,Y...280
43.31445,82.930179999999993,123.8511,174.7551,226.8743,40.13196,75.88403,118.4891,173.6329,231.4966,44.83203,82.2688,126.3308,181.2449,237.6133,47.7083,79.74707,122.4456,176.3613,232.3125,41.90527,76.26611,118.2695,169.1133,223.5022,36.43311,72.14929,118.6676,171.4844,226.3468,30.89392,63.10449,103.4491,147.7734,194.0083,35.74048,64.76709,94.68628,132.0896,166.8225,28.49487,57.56226,85.18384,124.803,161.376,32.00659,56.65771,90.02087,132.3541,170.322,19.47253,39.19458,63.86719,100.4664,132.1318,26.74988,48.69275,71.82666,106.0547,136.2822,14.396,29.30396,41.50354,65.72498,82.58984,18.12354,27.86279,37.57788,58.44019,73.44531
47.89404,79.46216,126.6738,176.4258,227.0164,41.57263,73.46533,114.7958,172.691,231.9382,48.36353,78.36597,129.4517,185.3118,240.5198,47.80933,78.72803,123.0549,177.231,232.7534,46.43726,73.18262,117.9666,171.0161,223.52,39.11646,70.26282,117.7063,173.5265,228.7194,35.74658,61.66882,103.8259,150.0619,198.6874,39.28809,60.97681,96.39282,132.6084,167.6343,30.90625,54.20801,83.98633,124.8013,161.9683,30.65491,55.590089999999996,90.27905,132.8883,170.8657,23.99048,36.31018,65.75635,100.9258,134.3789,28.88538,47.25598,73.47876,107.7057,136.6622,19.96179,27.22998,45.62549,66.5946,86.39478,19.97449,28.89551,40.06592,59.97449,76.02295
41.91602,79.38184,126.1316,178.3262,223.085,40.40845,72.2699,117.7482,174.434,232.3481,44.18066,79.3584,131.2422,185.5969,240.1331,44.36133,80.64038,126.4214,177.5161,233.145,41.9082,74.37109,119.2817,171.5486,224.3357,38.13062,71.59668,115.1833,174.0764,226.8467,35.12646,64.00806,104.2026,150.2236,194.5116,37.67017,63.90137,95.95288,135.2251,167.5247,29.40137,53.05493,86.51318,123.9053,160.9431,26.81665,53.25269,88.72913,131.6869,166.1129,20.71838,38.23779,67.20129,102.5475,132.9825,23.99133,45.58044,71.50769,107.2679,135.1597,18.03235,30.12781,48.16907,68.03833,85.2804,16.17712,27.18115,38.01453,59.39368,71.17798
44.68774,81.85547,122.6028,177.2844,227.9231,41.32251,73.96179,118.2979,175.5031,234.6427,47.26221,82.99219,129.9216,184.5952,242.6274,46.00488,81.24609,122.3101,179.7664,233.6187,41.22632,76.66016,120.0371,170.1919,225.5811,33.75415,68.95923,113.6193,171.7161,226.178,33.24585,62.33447,100.0232,146.9084,195.3037,39.30103,64.97437,93.66846,132.1787,171.3135,26.84766,54.30176,82.62671,124.4302,161.3855,25.88062,53.07031,85.57251,129.8601,168.6724,17.99634,40.04675,64.2627,99.48682,132.2803,24.29822,43.66821,70.87988,104.8074,134.0356,16.04932,33.45959,45.4635,67.08716,86.28894,16.05542,26.35425,36.323,57.14819,75.43127
44.82275,82.91675,126.0742,174.9873,225.9531,41.92273,74.0957,122.4905,175.9865,232.5887,46.13281,83.819820000000007,132.0452,185.7327,240.6501,45.60132,77.82227,126.7422,180.5981,234.0212,41.56323,76.71558,120.7925,170.6675,223.8323,33.58337,67.01404,114.6637,170.2167,224.2815,32.03931,61.84314,101.6646,147.0444,194.8599,38.64551,63.96289,96.54224,134.281,170.937,28.52441,52.6853,86.39331,121.5791,162.0208,27.78149,55.75037,87.49426,127.1932,169.6973,16.49902,37.40381,63.28137,97.14905,133.524,22.11218,43.73914,67.7312,102.6693,133.9086,16.01746,28.8291,45.42456,65.0188,83.34229,16.57153,26.55566,40.56458,56.1012,76.85205
45.39111,81.78687,126.4268,173.8501,226.5879,40.2959,76.007320000000007,117.9905,175.3699,230.8406,46.61768,84.6228,130.6221,184.2512,238.0396,41.5896,77.02588,122.9856,177.7537,235.7129,38.96362,76.23975,120.0024,170.189,224.592,35.66748,69.1405,114.3793,169.0747,222.6393,33.21912,63.17773,102.2859,146.8713,191.9493,39.90918,67.25171,96.04321,132.0706,169.9351,30.07129,55.4314,83.08887,122.8174,162.7017,29.83362,54.21692,88.98242,128.8335,169.9132,18.83484,36.37183,63.91052,95.64648,132.6355,24.42456,44.13123,69.828,102.6122,136.5084,15.23853,29.56702,43.98975,63.58679,84.2373,17.67688,29.08789,41.41333,56.30212,74.56409
43.67285,79.2876,125.5344,176.2434,231.0862,38.68225,71.91711,118.057,174.0936,233.5844,45.22021,80.9209,129.9607,185.1946,241.269,43.12036,75.87524,123.6614,178.9932,238.3591,42.96924,72.85522,120.4941,171.1548,227.4138,32.55273,67.48645,111.9109,170.3088,226.7538,31.24744,62.51257,100.7183,145.9022,195.9904,38.98682,64.18091,96.2085,133.2341,172.3887,27.2605,54.71167,84.74854,123.1477,164.3245,28.71521,52.86951,87.95459,130.1326,172.004,18.8905,37.47156,65.13367,98.18298,135.5366,25.26941,44.76929,71.29016,104.4958,139.444,15.79919,28.43909,43.401,64.4834,87.01794,18.2074,25.82373,39.73718,57.66895,75.41077
49.61011,81.70996,128.4849,178.7354,229.6946,43.52319,74.06262,120.5948,175.6997,232.0281,52.20581,84.14966,132.5427,186.626,241.4551,47.17505,75.83624,125.8669,181.4885,235.9275,46.05591,72.69521,121.095,173.0471,224.7737,39.97253,68.1875,117.1155,172.0237,228.0692,36.7135,61.56604,101.8894,148.1058,193.8972,43.57251,63.63721,95.56201,133.7954,171.6978,33.37158,54.04102,88.63989,123.3701,165.1055,32.38953,53.78613,89.28699,133.0908,171.1318,23.86084,38.20923,66.04138,97.46716,136.1931,26.85864,45.94507,70.98633,105.2603,137.2412,15.89648,28.04578,44.02905,64.85486,86.80396,21.95239,25.33533,41.16687,59.83752,74.82642
47.88843,84.31372,126.0247,179.1257,231.1289,42.53992,76.84985,119.3195,178.6899,232.2174,49.44629,83.1792,130.2095,188.0352,242.5681,47.72827,75.79723,125.1052,181.7356,237.3623,45.1377,72.5352,118.9949,173.0957,225.3232,43.4469,71.5957,116.5667,175.4662,231.5815,37.63086,63.50427,101.6183,147.6215,195.4076,44.75073,65.63989,98.56958,137.3923,175.4121,35.10864,54.19971,86.17261,124.4893,165.9421,29.56079,54.55945,86.97205,130.9357,170.5598,24.3446,40.01489,66.67029,100.329,136.7438,27.00037,46.87915,71.03564,105.4706,138.5491,18.0293,29.12732,45.15637,66.10095,86.93701,20.16553,26.29553,40.80444,58.81543,74.79407
48.58301,82.33374,128.1606,180.0708,229.5762,41.52307,73.29065,118.8724,174.5474,232.1503,47.37402,82.69092,130.1958,186.7898,240.3242,46.00562,75.75822,126.1897,180.1785,238.9197,44.77319,72.37519,121.1865,173.2329,225.907,41.703,73.57422,120.7408,174.2793,231.0447,35.77966,62.87085,102.4656,150.1169,194.8835,42.10645,66.12158,98.17236,138.5938,173.0098,34.14307,52.54639,88.38892,124.7861,165.1226,27.1438,50.96899,88.11121,129.9744,173.3578,22.83838,40.22546,66.87634,101.709,133.0283,26.07227,45.91516,71.69275,105.7549,137.4609,17.27246,29.13464,45.54333,66.15894,87.44006,15.81335,25.18542,42.07751,56.99438,74.13037
