X...11,X...13,X...15,X...17,X...19,X...31,X...33,X...35,X...37,X...39,X...51,X...53,X...55,X...57,X...59,X...71,X...73,X...75,X...77,X...79,X...91,X...93,X...95,X...97,X...99,X...111,X...113,X...115,X...117,X...119,X...131,X...133,X...135,X...137,X...139,X...151,X...153,X...155,X...157,X...159,X...171,X...173,X...175,X...177,X...179,X...191,X...193,X...195,X...197,X...199,X...211,X...213,X...215,X...217,X...219,X...231,X...233,X...235,X...237,X...239,X...251,X...253,X...255,X...257,X...259,X...271,X...273,X...275,X...277,X...279
59.27512,57.73423,58.96135,58.07795,63.1717,59.27512,57.73423,58.96135,58.07795,63.1717,59.27512,57.73423,58.96135,58.07795,63.1717,59.27512,57.73423,58.96135,58.07795,63.1717,59.27512,57.73423,58.96135,58.07795,63.1717,59.27512,57.73423,58.96135,58.07795,63.1717,59.27512,57.73423,58.96135,58.07795,63.1717,59.27512,57.73423,58.96135,58.07795,63.1717,59.27512,57.73423,58.96135,58.07795,63.1717,59.27512,57.73423,58.96135,58.07795,63.1717,59.27512,57.73423,58.96135,58.07795,63.1717,59.27512,57.73423,58.96135,58.07795,63.1717,59.27512,57.73423,58.96135,58.07795,63.1717,59.27512,57.73423,58.96135,58.07795,63.1717
61.49385,59.9686,61.1801,60.29669,65.46856,61.49385,59.9686,61.1801,60.29669,65.46856,61.49385,59.9686,61.1801,60.29669,65.46856,61.49385,59.9686,61.1801,60.29669,65.46856,61.49385,59.9686,61.1801,60.29669,65.46856,61.49385,59.9686,61.1801,60.29669,65.46856,61.49385,59.9686,61.1801,60.29669,65.46856,61.49385,59.9686,61.1801,60.29669,65.46856,61.49385,59.9686,61.1801,60.29669,65.46856,61.49385,59.9686,61.1801,60.29669,65.46856,61.49385,59.9686,61.1801,60.29669,65.46856,61.49385,59.9686,61.1801,60.29669,65.46856,61.49385,59.9686,61.1801,60.29669,65.46856,61.49385,59.9686,61.1801,60.29669,65.46856
63.69696,62.17172,63.38321,62.49981,67.67168,63.69696,62.17172,63.38321,62.49981,67.67168,63.69696,62.17172,63.38321,62.49981,67.67168,63.69696,62.17172,63.38321,62.49981,67.67168,63.69696,62.17172,63.38321,62.49981,67.67168,63.69696,62.17172,63.38321,62.49981,67.67168,63.69696,62.17172,63.38321,62.49981,67.67168,63.69696,62.17172,63.38321,62.49981,67.67168,63.69696,62.17172,63.38321,62.49981,67.67168,63.69696,62.17172,63.38321,62.49981,67.67168,63.69696,62.17172,63.38321,62.49981,67.67168,63.69696,62.17172,63.38321,62.49981,67.67168,63.69696,62.17172,63.38321,62.49981,67.67168,63.69696,62.17172,63.38321,62.49981,67.67168
65.9157,64.40608,65.60196,64.70293,70.29666,65.9157,64.40608,65.60196,64.70293,70.29666,65.9157,64.40608,65.60196,64.70293,70.29666,65.9157,64.40608,65.60196,64.70293,70.29666,65.9157,64.40608,65.60196,64.70293,70.29666,65.9157,64.40608,65.60196,64.70293,70.29666,65.9157,64.40608,65.60196,64.70293,70.29666,65.9157,64.40608,65.60196,64.70293,70.29666,65.9157,64.40608,65.60196,64.70293,70.29666,65.9157,64.40608,65.60196,64.70293,70.29666,65.9157,64.40608,65.60196,64.70293,70.29666,65.9157,64.40608,65.60196,64.70293,70.29666,65.9157,64.40608,65.60196,64.70293,70.29666,65.9157,64.40608,65.60196,64.70293,70.29666
68.15008,66.60921,67.82069,66.92166,72.54666,68.15008,66.60921,67.82069,66.92166,72.54666,68.15008,66.60921,67.82069,66.92166,72.54666,68.15008,66.60921,67.82069,66.92166,72.54666,68.15008,66.60921,67.82069,66.92166,72.54666,68.15008,66.60921,67.82069,66.92166,72.54666,68.15008,66.60921,67.82069,66.92166,72.54666,68.15008,66.60921,67.82069,66.92166,72.54666,68.15008,66.60921,67.82069,66.92166,72.54666,68.15008,66.60921,67.82069,66.92166,72.54666,68.15008,66.60921,67.82069,66.92166,72.54666,68.15008,66.60921,67.82069,66.92166,72.54666,68.15008,66.60921,67.82069,66.92166,72.54666,68.15008,66.60921,67.82069,66.92166,72.54666
70.36882,68.82794,70.03947,69.1404,75.04662,70.36882,68.82794,70.03947,69.1404,75.04662,70.36882,68.82794,70.03947,69.1404,75.04662,70.36882,68.82794,70.03947,69.1404,75.04662,70.36882,68.82794,70.03947,69.1404,75.04662,70.36882,68.82794,70.03947,69.1404,75.04662,70.36882,68.82794,70.03947,69.1404,75.04662,70.36882,68.82794,70.03947,69.1404,75.04662,70.36882,68.82794,70.03947,69.1404,75.04662,70.36882,68.82794,70.03947,69.1404,75.04662,70.36882,68.82794,70.03947,69.1404,75.04662,70.36882,68.82794,70.03947,69.1404,75.04662,70.36882,68.82794,70.03947,69.1404,75.04662,70.36882,68.82794,70.03947,69.1404,75.04662
72.57195,71.04665,72.2738,71.35915,77.29665,72.57195,71.04665,72.2738,71.35915,77.29665,72.57195,71.04665,72.2738,71.35915,77.29665,72.57195,71.04665,72.2738,71.35915,77.29665,72.57195,71.04665,72.2738,71.35915,77.29665,72.57195,71.04665,72.2738,71.35915,77.29665,72.57195,71.04665,72.2738,71.35915,77.29665,72.57195,71.04665,72.2738,71.35915,77.29665,72.57195,71.04665,72.2738,71.35915,77.29665,72.57195,71.04665,72.2738,71.35915,77.29665,72.57195,71.04665,72.2738,71.35915,77.29665,72.57195,71.04665,72.2738,71.35915,77.29665,72.57195,71.04665,72.2738,71.35915,77.29665,72.57195,71.04665,72.2738,71.35915,77.29665
74.79068,73.24981,74.47692,73.59351,79.51539,74.79068,73.24981,74.47692,73.59351,79.51539,74.79068,73.24981,74.47692,73.59351,79.51539,74.79068,73.24981,74.47692,73.59351,79.51539,74.79068,73.24981,74.47692,73.59351,79.51539,74.79068,73.24981,74.47692,73.59351,79.51539,74.79068,73.24981,74.47692,73.59351,79.51539,74.79068,73.24981,74.47692,73.59351,79.51539,74.79068,73.24981,74.47692,73.59351,79.51539,74.79068,73.24981,74.47692,73.59351,79.51539,74.79068,73.24981,74.47692,73.59351,79.51539,74.79068,73.24981,74.47692,73.59351,79.51539,74.79068,73.24981,74.47692,73.59351,79.51539,74.79068,73.24981,74.47692,73.59351,79.51539
76.99377,75.45293,76.72692,75.79932,81.93726,76.99377,75.45293,76.72692,75.79932,81.93726,76.99377,75.45293,76.72692,75.79932,81.93726,76.99377,75.45293,76.72692,75.79932,81.93726,76.99377,75.45293,76.72692,75.79932,81.93726,76.99377,75.45293,76.72692,75.79932,81.93726,76.99377,75.45293,76.72692,75.79932,81.93726,76.99377,75.45293,76.72692,75.79932,81.93726,76.99377,75.45293,76.72692,75.79932,81.93726,76.99377,75.45293,76.72692,75.79932,81.93726,76.99377,75.45293,76.72692,75.79932,81.93726,76.99377,75.45293,76.72692,75.79932,81.93726,76.99377,75.45293,76.72692,75.79932,81.93726,76.99377,75.45293,76.72692,75.79932,81.93726
79.19692,77.65605,78.96129,78.00242,84.28101,79.19692,77.65605,78.96129,78.00242,84.28101,79.19692,77.65605,78.96129,78.00242,84.28101,79.19692,77.65605,78.96129,78.00242,84.28101,79.19692,77.65605,78.96129,78.00242,84.28101,79.19692,77.65605,78.96129,78.00242,84.28101,79.19692,77.65605,78.96129,78.00242,84.28101,79.19692,77.65605,78.96129,78.00242,84.28101,79.19692,77.65605,78.96129,78.00242,84.28101,79.19692,77.65605,78.96129,78.00242,84.28101,79.19692,77.65605,78.96129,78.00242,84.28101,79.19692,77.65605,78.96129,78.00242,84.28101,79.19692,77.65605,78.96129,78.00242,84.28101,79.19692,77.65605,78.96129,78.00242,84.28101
