V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21
1000,1e-6,1e-4,1e-4,338.3572,60,60,60,60,60,4947.090472290204,5.711618159101687e-5,1.0333905256574996e-4,0.0031475790798241488,405.56660392899533,60,60,60,60,60,627356.6176384928
1000,1e-6,0.001,1e-6,338.3572,60,60,60,60,60,4947.339148826541,5.7240073933997956e-5,1.0335214235671933e-4,0.0031549855284424455,405.5776356065134,60,60,60,60,60,627356.7660518638
1000,1e-6,0.001,1e-5,338.3572,60,60,60,60,60,4947.2720617663845,5.7210547752647306e-5,1.0335113803281679e-4,0.003153035812460577,405.57721274810103,60,60,60,60,60,627356.6971350868
1000,1e-6,0.001,1e-4,338.3572,60,60,60,60,60,4947.047497485585,5.7067110120375005e-5,1.0333235173165921e-4,0.0031449351395072198,405.5577495800473,60,60,60,60,60,627356.6606999445
1000,1e-6,0.01,1e-6,338.3572,60,60,60,60,60,4947.19403879502,5.7141193778829484e-5,1.0334133666343298e-4,0.003149205692989278,405.5659647273842,60,60,60,60,60,627356.6186064573
1000,1e-6,0.01,1e-5,338.3572,60,60,60,60,60,4947.12804209323,5.712349145104509e-5,1.0334041974359333e-4,0.0031480792230293773,405.56615233044886,60,60,60,60,60,627356.6163805322
1000,1e-6,0.01,1e-4,338.3572,60,60,60,60,60,4947.115914290259,5.713248148632742e-5,1.0333205355290223e-4,0.003148398707035024,405.56759481800003,60,60,60,60,60,627356.6187039966
1000,1e-5,1e-4,1e-6,338.3572,60,60,60,60,60,4947.013154200182,5.713367376587663e-5,1.0334667645299886e-4,0.0031481145288238927,405.5772197760367,60,60,60,60,60,627356.6179105573
1000,1e-5,1e-4,1e-5,338.3572,60,60,60,60,60,4947.0464461043675,5.712826159776048e-5,1.0334424815771288e-4,0.003148053886732695,405.57279851093614,60,60,60,60,60,627356.6161394843
1000,1e-5,1e-4,1e-4,338.3572,60,60,60,60,60,4947.108424516934,5.713188541122175e-5,1.0334285974154628e-4,0.0031483444048963924,405.57031827043096,60,60,60,60,60,627356.616349427
1000,1e-5,0.001,1e-6,338.3572,60,60,60,60,60,4945.54095437988,5.6941936355598536e-5,1.0333980060386788e-4,0.0031329695789127808,405.627874505604,60,60,60,60,60,627357.1628029043
1000,1e-5,0.001,1e-5,338.3572,60,60,60,60,60,4947.067568489314,5.711504938936586e-5,1.0333982047252162e-4,0.003147412740350606,405.5681743221512,60,60,60,60,60,627356.6178555307
1000,1e-5,0.001,1e-4,338.3572,60,60,60,60,60,4946.932774583447,5.712706714769952e-5,1.0334697128331559e-4,0.003147630192302989,405.57980714512155,60,60,60,60,60,627356.6180934062
1000,1e-5,0.01,1e-6,338.3572,60,60,60,60,60,4946.984443096133,5.710709444745165e-5,1.0333913168859157e-4,0.0031466690301671075,405.571832799802,60,60,60,60,60,627356.6216260357
1000,1e-5,0.01,1e-5,338.3572,60,60,60,60,60,4946.972441496209,5.7102250526186584e-5,1.033390450849201e-4,0.0031463843100142178,405.57151299432013,60,60,60,60,60,627356.6242107762
1000,1e-5,0.01,1e-4,338.3572,60,60,60,60,60,4947.118665352789,5.713344985410066e-5,1.0334349848771708e-4,0.0031486016733521974,405.56905423085567,60,60,60,60,60,627356.616423504
1000,1e-4,1e-4,1e-6,338.3572,60,60,60,60,60,4947.109000952531,5.7120760546472767e-5,1.0333985205554676e-4,0.0031479854338071008,405.56573864522835,60,60,60,60,60,627356.6170672075
1000,1e-4,1e-4,1e-5,338.3572,60,60,60,60,60,4947.035728646954,5.7132652659888415e-5,1.0334518421028282e-4,0.0031480570161343644,405.57589428576654,60,60,60,60,60,627356.6179321969
1000,1e-4,1e-4,1e-4,338.3572,60,60,60,60,60,4947.014021277673,5.712955105623919e-5,1.0334503376621893e-4,0.0031480204067479882,405.575043101865,60,60,60,60,60,627356.6165534252
1000,1e-4,0.001,1e-6,338.3572,60,60,60,60,60,4947.1086034923965,5.7131752665482293e-5,1.0334275375313086e-4,0.0031486409016307925,405.56790779958027,60,60,60,60,60,627356.6169616161
1000,1e-4,0.001,1e-5,338.3572,60,60,60,60,60,4947.117163525892,5.713559223643646e-5,1.0334358770986288e-4,0.003148478596093287,405.5713592855203,60,60,60,60,60,627356.6173749412
1000,1e-4,0.001,1e-4,338.3572,60,60,60,60,60,4947.062607453199,5.712895305027432e-5,1.0334324776277722e-4,0.0031478724242259616,405.57381551978386,60,60,60,60,60,627356.6178406428
1000,1e-4,0.01,1e-6,338.3572,60,60,60,60,60,4947.14680006561,5.713488562277455e-5,1.0334018824485148e-4,0.0031486926468230815,405.56749359883656,60,60,60,60,60,627356.6167687678
1000,1e-4,0.01,1e-5,338.3572,60,60,60,60,60,1000,1e-4,0.01,1e-5,338.3572,60,60,60,60,60,2e64
1000,1e-4,0.01,1e-4,338.3572,60,60,60,60,60,1000,1e-4,0.01,1e-4,338.3572,60,60,60,60,60,2e64
10000,1e-6,1e-4,1e-6,338.3572,60,60,60,60,60,4947.124231343335,5.712974051887291e-5,1.033417880819675e-4,0.003148329157841251,405.5682293232509,60,60,60,60,60,627356.6161117208
10000,1e-6,1e-4,1e-5,338.3572,60,60,60,60,60,4946.956454499879,5.7112777225990766e-5,1.0334402932321849e-4,0.003146983027099095,405.57481968288414,60,60,60,60,60,627356.6193109568
10000,1e-6,1e-4,1e-4,338.3572,60,60,60,60,60,4947.085959086388,5.7126439904677594e-5,1.0334231566096815e-4,0.0031481608504285905,405.5692838413603,60,60,60,60,60,627356.6160669982
10000,1e-6,0.001,1e-6,338.3572,60,60,60,60,60,4944.738079099693,5.64882055775811e-5,1.0330782236671431e-4,0.003107648958954149,405.5722975339238,60,60,60,60,60,627361.5948344889
10000,1e-6,0.001,1e-5,338.3572,60,60,60,60,60,4943.612470568374,5.640815630789538e-5,1.0332881619884242e-4,0.0031001527466458303,405.62511718607556,60,60,60,60,60,627363.1087003666
10000,1e-6,0.001,1e-4,338.3572,60,60,60,60,60,4946.211467937169,5.662287043053343e-5,1.0328006805841696e-4,0.0031193692786070227,405.50630306227896,60,60,60,60,60,627359.6911537756
10000,1e-6,0.01,1e-6,338.3572,60,60,60,60,60,402051.15956184483,2.899037477978528e-5,4.4298339804450295,1.7238987286823042e-5,880.5328461517399,60,60,60,60,60,215093.70923912208
10000,1e-6,0.01,1e-5,338.3572,60,60,60,60,60,98626.73407471814,2.8720556116955684e-5,1.055730964460086,1.7948617244112147e-5,879.3729029965456,60,60,60,60,60,219775.8778739043
